id,theme,hook,prayer,scripture,scripture_ref,ending,visual_concept
1,Provision,You don't owe tonight any more effort.,"Lord, thank You for meeting our needs, even when we worried You wouldn't.",The Lord is my shepherd; I lack nothing.,Psalm 23:1,"May rest come, even if it's imperfect tonight.",soft glow of dusk settling over hills
2,Identity,"Before you sleep, remember who's holding you.","Lord, quiet the comparison that makes us forget who we actually are.",I have loved you with an everlasting love.,Jeremiah 31:3,You're not carrying this by your own strength alone.,quiet night sky above still sand dunes
3,Work,Tonight isn't asking anything more of you.,"Father, quiet the work stress that followed us home tonight.","In vain you rise early and stay up late, toiling for food to eat — for he grants sleep to those he loves.",Psalm 127:2,"May His nearness be enough tonight, even without answers.",moonlit clouds over a still lake
4,Weariness in faith,"Tonight, set down what isn't yours to fix.","God, for the prayer life that's felt dry lately, revive it in Your timing.","Come to me, all you who are weary and burdened, and I will give you rest.",Matthew 11:28,Rest is not a reward you have to earn tonight.,clouds drifting under a full moon
5,Encouragement,This is your permission to rest.,"Father, for the setback today, remind us it isn't the whole story.","Encourage the disheartened, help the weak, be patient with everyone.",1 Thessalonians 5:14,May God's peace meet you exactly where you are.,a soft glow along a quiet forest trail
6,Humility,This is the pause your heart needed.,"Father, help us listen more than we speak tomorrow.",Act justly and to love mercy and to walk humbly with your God.,Micah 6:8,"Whatever silence you're sitting in, God is not silent toward you.",a quiet balcony overlooking city lights
7,Disappointment,Before sleep finds you...,"Lord, we release today's disappointment tonight. Tomorrow is still Yours to write.",And we know that in all things God works for the good of those who love him.,Romans 8:28,You are not required to be okay tonight — just to be honest.,a gentle glow from a distant window
8,Strength,You made it here. That's not nothing.,"Lord, for anyone who feels like they have nothing left, be their strength tonight.",But those who hope in the Lord will renew their strength.,Isaiah 40:31,"God's love holds steady, whatever tonight's circumstances are.",stars framed by a mountain ridge
9,Gratitude,"Before you sleep, a small reminder.","Lord, thank You for another day, even an imperfect one.",Give thanks in all circumstances.,1 Thessalonians 5:18,"May peace be with you tonight, whatever tonight holds.",moonlight through an open barn door
10,Joy,You don't have to carry tomorrow yet either.,"Lord, restore a little joy to us tonight, even in a hard season.",The joy of the Lord is your strength.,Nehemiah 8:10,Rest as much as you can. God is near.,a tranquil garden under moonlight
11,Provision,Hand it over. All of it.,"God, for the specific need we're facing right now, be our provider.",And my God will meet all your needs according to the riches of his glory in Christ Jesus.,Philippians 4:19,"Whatever you're facing, you are not facing it unseen by God.",soft blue hour light before full dark
12,God's presence,"Whatever tonight looks like, you're not facing it unseen.","Father, let Your presence be the last thing we're aware of before sleep.",Draw near to God and he will draw near to you.,James 4:8,"God is not far from you tonight, even if He feels quiet.",night sky reflected on wet pavement
13,Patience,Rest tonight. Really rest.,"Lord, give us patience for the process, not just the outcome.",Wait for the Lord; be strong and take heart and wait for the Lord.,Psalm 27:14,You do not have to carry everything alone.,moonlight on quiet cobblestones
14,Anxiety,"Tonight, let your heart go quiet.","Father, for the anxious thought we keep circling back to, interrupt it with peace.","Do not be anxious about anything, but in every situation, by prayer and petition, present your requests to God.",Philippians 4:6,May tonight offer whatever rest your heart can receive.,a calm night sky above rooftops
